Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.2, 'levenshtein': 0.6}, Average Accuracy: 42.38%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.3, 'levenshtein': 0.5}, Average Accuracy: 40.92%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.4, 'levenshtein': 0.4}, Average Accuracy: 39.47%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.5, 'levenshtein': 0.3}, Average Accuracy: 38.01%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.6, 'levenshtein': 0.2}, Average Accuracy: 36.55%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.8, 'levenshtein': 0.0}, Average Accuracy: 32.64%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.0, 'levenshtein': 0.7}, Average Accuracy: 47.00%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.1, 'levenshtein': 0.6}, Average Accuracy: 45.12%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.2, 'levenshtein': 0.5}, Average Accuracy: 42.25%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.3, 'levenshtein': 0.4}, Average Accuracy: 40.80%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.4, 'levenshtein': 0.3}, Average Accuracy: 39.34%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.5, 'levenshtein': 0.2}, Average Accuracy: 37.88%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.6, 'levenshtein': 0.1}, Average Accuracy: 36.42%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.1, 'enhanced': 0.7, 'levenshtein': 0.0}, Average Accuracy: 34.99%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.0, 'levenshtein': 0.6}, Average Accuracy: 46.85%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.1, 'levenshtein': 0.5}, Average Accuracy: 45.00%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.2, 'levenshtein': 0.4}, Average Accuracy: 42.13%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.3, 'levenshtein': 0.3}, Average Accuracy: 40.67%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.4, 'levenshtein': 0.2}, Average Accuracy: 39.21%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.5, 'levenshtein': 0.1}, Average Accuracy: 37.75%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.2, 'enhanced': 0.6, 'levenshtein': 0.0}, Average Accuracy: 36.30%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.0, 'levenshtein': 0.5}, Average Accuracy: 46.74%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.1, 'levenshtein': 0.4}, Average Accuracy: 44.87%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.2, 'levenshtein': 0.3}, Average Accuracy: 42.00%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.3, 'levenshtein': 0.2}, Average Accuracy: 40.54%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.4, 'levenshtein': 0.1}, Average Accuracy: 39.08%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.3, 'enhanced': 0.5, 'levenshtein': 0.0}, Average Accuracy: 37.62%
